Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
93	ապականել	1		երգել	ապական	Regular	V	E-Class	-ել	To infect, to corrupt, to spoil, to deflour; to deform, to profane, to adulterate, to pollute.	Transitive																																																										
94	ապականիլ	3	Basic	ապրիլ	ապական	Regular	V	I-Class	-իլ	To grow corrupt, to fester, to be spoiled.	Intransitive																																																										
95	ապահովագրել	1		երգել	ապահովագր	Regular	V	E-Class	-ել	To insure, to assure, to secure.	Transitive																																																										
96	ապահովագրուիլ	3	Passive	ածիլուիլ	ապահովագր	Regular	V	Passive	-ուիլ	To be insured.	Intransitive																																																										
97	ապահովել	1		երգել	ապահով	Regular	V	E-Class	-ել	To make sure of, to guarantee, to secure.	Transitive																																																										
98	ապաշխարել	1		երգել	ապաշխար	Regular	V	E-Class	-ել	To repent of, to do penance, to regret.	Both																																																										
99	ապասերիլ	3	Basic	ապրիլ	ապասեր	Regular	V	I-Class	-իլ	To render degenerate, to debase, to spoil.	Intransitive																																																										
100	ապաստանիլ	3	Basic	ապրիլ	ապաստան	Regular	V	I-Class	-իլ	To take refuge, shelter.	Intransitive																																																										
101	ապացուցանել	11		ուսուցանել	ապացուց	Archaic	V		-անել	To prove, to demonstrate.	Transitive																																																										
102	ապացուցել	1		երգել	ապացուց	Regular	V	E-Class	-ել		Transitive																																																										
103	ապաւինիլ	3	Basic	ապրիլ	ապաւին	Regular	V	I-Class	-իլ	To trust, to depend upon: to be protected, to rely.	Intransitive																																																										
104	ապաքինիլ	3	Basic	ապրիլ	ապաքին	Regular	V	I-Class	-իլ	To heal up, to recover.	Intransitive																																																										
105	ապխտել	1		երգել	ապխտ	Regular	V	E-Class	-ել	To dry salt-meat.	Transitive																																																										
106	ապշեցնել	9	Basic	աճեցնել	ապշե	Regular	V	Causative	-ցնել	To astonish, to surprise, to enrapture.	Transitive																																																										
107	ապշիլ	3	Basic	ապրիլ	ապշ	Regular	V	I-Class	-իլ	To be surprised, to astonish, to be stupefied.	Intransitive																																																										
108	ապսպրել	1		երգել	ապսպր	Regular	V	E-Class	-ել	To command, to order, to give order.	Transitive																																																										
109	ապստամբիլ	3	Basic	ապրիլ	ապստամբ	Regular	V	I-Class	-իլ	To mutiny, to rebel.	Intransitive																																																										
110	ապտակել	1		երգել	ապտակ	Regular	V	E-Class	-ել	To buffet, to slap in face.	Transitive																																																										
111	ապրեցնել	9	Basic	աճեցնել	ապրե	Regular	V	Causative	-ցնել	To keep alive, to save.	Transitive																																																										
112	ապրիլ	3	Basic	ապրիլ	ապր	Regular	V	I-Class	-իլ	To live, to be alive, to subsist.	Intransitive																																																										
113	աջակցիլ	3	Basic	ապրիլ	աջակց	Regular	V	I-Class	-իլ	To aid, to assist, to coalesce.	Intransitive																																																										
114	առանձնանալ	19		ամչնալ	առանձնա	Regular	V	Inchoative	-նալ	To retire, to be alone, to withdraw.	Intransitive																																																										
115	առանձնացնել	9	Basic	աճեցնել	առանձնա	Regular	V	Causative	-ցնել		Transitive																																																										
116	առաջադրել	1		երգել	առաջադր	Regular	V	E-Class	-ել	To propose, to purpose, to intend, to set before.	Transitive																																																										
117	առաջարկել	1		երգել	առաջարկ	Regular	V	E-Class	-ել	To propose, to offer, to propound.	Transitive																																																										
118	առաջնորդել	1		երգել	առաջնորդ	Regular	V	E-Class	-ել		Transitive																																																										
119	առարկել	1		երգել	առարկ	Regular	V	E-Class	-ել	To object, to oppose.	Transitive																																																										
120	առաքել	1		երգել	առաք	Regular	V	E-Class	-ել	to send, to forward.	Transitive																																																										
121	առեւանգել	1		երգել	առեւանգ	Regular	V	E-Class	-ել	To rape, to kidnap, to carry away, to ravish.	Transitive																																																										
122	առթել	1		երգել	առթ	Regular	V	E-Class	-ել	To cause, to occasion, to produce, to engender.	Transitive																																																										
123	առինքնել	1		երգել	առինքն	Regular	V	E-Class	-ել		Transitive																																																										
124	առկախել	1		երգել	առկախ	Regular	V	E-Class	-ել	To suspend, to hang up, to delay.	Transitive																																																										
125	առնել	41		առնել	առ	Irregular	V		-նել	To do, to make; to render, to take, to receive, to get, to buy.	Transitive																																																										
126	առնուիլ	3	Passive	ածիլուիլ	առն	Regular	V	Passive	-ուիլ	To be offended, to take offence.	Intransitive																																																										
127	առողջանալ	19		ամչնալ	առողջա	Regular	V	Inchoative	-նալ	To heal, to recover, to be cured.	Intransitive																																																										
128	առողջացնել	9	Basic	աճեցնել	առողջա	Regular	V	Causative	-ցնել	To heal, to cure, to remedy; to restore.	Transitive																																																										
129	ասեղագործել	1		երգել	ասեղագործ	Regular	V	E-Class	-ել		Transitive																																																										
130	ասպատակել	1		երգել	ասպատակ	Regular	V	E-Class	-ել	To invade, to run after, to pursue, to infest.	Transitive																																																										
131	աստիճանազրկել	1		երգել	աստիճանազրկ	Regular	V	E-Class	-ել	To reduce to the rank, to degrade.	Transitive																																																										
132	ատել	1		երգել	ատ	Regular	V	E-Class	-ել	To hate, to detest, to loathe.	Transitive																																																										
133	ատուիլ	3	Passive	ածիլուիլ	ատ	Regular	V	Passive	-ուիլ	To be hated.	Intransitive																																																										
134	արածել	1		երգել	արած	Regular	V	E-Class	-ել	To feed, to pasture, to graze.	Transitive																																																										
135	արածիլ	3	Basic	ապրիլ	արած	Regular	V	I-Class	-իլ	To feed, to graze.	Intransitive																																																										
136	արատաւորել	1		երգել	արատաւոր	Regular	V	E-Class	-ել	To stain, to blemish, to speck, to flaw, to tarnish, to deface, to distain.	Transitive																																																										
137	արբենալ	19		ամչնալ	արբե	Regular	V	Inchoative	-նալ	To tope, to get drunk, to get tipsy.	Intransitive																																																										
138	արբիլ	3	Basic	ապրիլ	արբ	Regular	V	I-Class	-իլ		Intransitive																																																										
139	արգահատիլ	3	Basic	ապրիլ	արգահատ	Regular	V	I-Class	-իլ		Transitive																																																										
140	արգասաւորել	1		երգել	արգասաւոր	Regular	V	E-Class	-ել	To fertilize, to fecundate.	Transitive																																																										
141	արգասաւորուիլ	3	Passive	ածիլուիլ	արգասաւոր	Regular	V	Passive	-ուիլ		Intransitive																																																										
142	արգելակել	1		երգել	արգելակ	Regular	V	E-Class	-ել		Transitive																																																										
143	արգելափակել	1		երգել	արգելափակ	Regular	V	E-Class	-ել	To interne, to confine.	Transitive																																																										
144	արգիլել	1		երգել	արգիլ	Regular	V	E-Class	-ել	To prevent, to oppose, to impede, to stop, to forbid.	Transitive																																																										
