indicative past imperfect 2pl	կ'երգէիք	կը քաղէիք	կ'ապրէիք	կը խօսէիք	կ'ածիլուէիք	կը զզուէիք	կ'աղայիք	կը կարդայիք	կ'արտահեղէիք, կ'արտահեղուիք	կը թողէիք, կը թողուիք	կ'աճեցնէիք	կը մօտեցնէիք	կ'անցընէիք	կը դարձնէիք	կ'ուսուցանէիք	կը ծանուցանէիք	կ'անցնէիք	կը մեռնէիք	կ'երկնչէիք		կ'ամչնայիք	կը նիհարնայիք	կ'երդնէիք	կը զբօսնէիք	կ'իջնայիք	կ'իջնէիք	կը գտնայիք	կը գտնէիք	կ'ելլայիք	կ'ելլէիք	կը դպչէիք		կրնայիք	կ'երեւիք	ունէիք	գիտէիք	կայիք	էիք	կ'ըլլայիք	կու գայիք	կու լայիք	կու տայիք	կ'արտաբերէիք	կը բերէիք	կ'անդրադառնայիք	կը դառնայիք	կ'առնէիք	կը բանայիք	կը դնէիք	կը դպէիք	կ'երթայիք	կը զարնէիք	կը զիջէիք	կ'ընդունէիք	կ'ընէիք	կ'ըսէիք	կը թքնէիք	կ'իյնայիք	կը խածնէիք	կը խաղայիք	կը մնայիք	կը նստէիք	կ'ուտէիք	կը տանէիք
indicative past imperfect 2sg	կ'երգէիր	կը քաղէիր	կ'ապրէիր	կը խօսէիր	կ'ածիլուէիր	կը զզուէիր	կ'աղայիր	կը կարդայիր	կ'արտահեղէիր, կ'արտահեղուիր	կը թողէիր, կը թողուիր	կ'աճեցնէիր	կը մօտեցնէիր	կ'անցընէիր	կը դարձնէիր	կ'ուսուցանէիր	կը ծանուցանէիր	կ'անցնէիր	կը մեռնէիր	կ'երկնչէիր		կ'ամչնայիր	կը նիհարնայիր	կ'երդնէիր	կը զբօսնէիր	կ'իջնայիր	կ'իջնէիր	կը գտնայիր	կը գտնէիր	կ'ելլայիր	կ'ելլէիր	կը դպչէիր		կրնայիր	կ'երեւիս	ունէիր	գիտէիր	կայիր	էիր	կ'ըլլայիր	կու գայիր	կու լայիր	կու տայիր	կ'արտաբերէիր	կը բերէիր	կ'անդրադառնայիր	կը դառնայիր	կ'առնէիր	կը բանայիր	կը դնէիր	կը դպէիր	կ'երթայիր	կը զարնէիր	կը զիջէիր	կ'ընդունէիր	կ'ընէիր	կ'ըսէիր	կը թքնէիր	կ'իյնայիր	կը խածնէիր	կը խաղայիր	կը մնայիր	կը նստէիր	կ'ուտէիր	կը տանէիր
indicative past imperfect 3pl	կ'երգէին	կը քաղէին	կ'ապրէին	կը խօսէին	կ'ածիլուէին	կը զզուէին	կ'աղային	կը կարդային	կ'արտահեղէին, կ'արտահեղուին	կը թողէին, կը թողուին	կ'աճեցնէին	կը մօտեցնէին	կ'անցընէին	կը դարձնէին	կ'ուսուցանէին	կը ծանուցանէին	կ'անցնէին	կը մեռնէին	կ'երկնչէին		կ'ամչնային	կը նիհարնային	կ'երդնէին	կը զբօսնէին	կ'իջնային	կ'իջնէին	կը գտնային	կը գտնէին	կ'ելլային	կ'ելլէին	կը դպչէին		կրնային	կ'երեւին	ունէին	գիտէին	կային	էին	կ'ըլլային	կու գային	կու լային	կու տային	կ'արտաբերէին	կը բերէին	կ'անդրադառնային	կը դառնային	կ'առնէին	կը բանային	կը դնէին	կը դպէին	կ'երթային	կը զարնէին	կը զիջէին	կ'ընդունէին	կ'ընէին	կ'ըսէին	կը թքնէին	կ'իյնային	կը խածնէին	կը խաղային	կը մնային	կը նստէին	կ'ուտէին	կը տանէին
indicative past imperfect 3sg	կ'երգէր	կը քաղէր	կ'ապրէր	կը խօսէր	կ'ածիլուէր	կը զզուէր	կ'աղար	կը կարդար	կ'արտահեղէր, կ'արտահեղուր	կը թողէր, կը թողուր	կ'աճեցնէր	կը մօտեցնէր	կ'անցընէր	կը դարձնէր	կ'ուսուցանէր	կը ծանուցանէր	կ'անցնէր	կը մեռնէր	կ'երկնչէր		կ'ամչնար	կը նիհարնար	կ'երդնէր	կը զբօսնէր	կ'իջնար	կ'իջնէր	կը գտնար	կը գտնէր	կ'ելլար	կ'ելլէր	կը դպչէր		կրնար	կ'երեւի	ունէր	գիտէր	կար	էր	կ'ըլլար	կու գար	կու լար	կու տար	կ'արտաբերէր	կը բերէր	կ'անդրադառնար	կը դառնար	կ'առնէր	կը բանար	կը դնէր	կը դպէր	կ'երթար	կը զարնէր	կը զիջէր	կ'ընդունէր	կ'ընէր	կ'ըսէր	կը թքնէր	կ'իյնար	կը խածնէր	կը խաղար	կը մնար	կը նստէր	կ'ուտէր	կը տանէր
indicative present 1pl	կ'երգենք	կը քաղենք	կ'ապրինք	կը խօսինք	կ'ածիլուինք	կը զզուինք	կ'աղանք	կը կարդանք	կ'արտահեղենք, կ'արտահեղունք	կը թողունք	կ'աճեցնենք	կը մօտեցնենք	կ'անցընենք	կը դարձնենք	կ'ուսուցանենք	կը ծանուցանենք	կ'անցնինք	կը մեռնինք	կ'երկնչինք	կը կպչինք	կ'ամչնանք	կը նիհարնանք	կ'երդնունք	կը զբօսնունք	կ'իջնանք	կ'իջնենք	կը գտնանք	կը գտնենք	կ'ելլանք	կ'ելլենք	կը դպչինք		կրնանք	կ'երեւէինք	ունինք	գիտենք	կանք	ենք	կ'ըլլանք	կու գանք	կու լանք	կու տանք	կ'արտաբերենք	կը բերենք	կ'անդրադառնանք	կը դառնանք	կ'առնենք	կը բանանք	կը դնենք	կը դպինք	կ'երթանք	կը զարնենք	կը զիջինք	կ'ընդունինք	կ'ընենք	կ'ըսենք	կը թքնենք	կ'իյնանք	կը խածնենք	կը խաղանք	կը մնանք	կը նստինք	կ'ուտենք	կը տանինք
indicative present 1sg	կ'երգեմ	կը քաղեմ	կ'ապրիմ	կը խօսիմ	կ'ածիլուիմ	կը զզուիմ	կ'աղամ	կը կարդամ	կ'արտահեղեմ, կ'արտահեղում	կը թողում	կ'աճեցնեմ	կը մօտեցնեմ	կ'անցընեմ	կը դարձնեմ	կ'ուսուցանեմ	կը ծանուցանեմ	կ'անցնիմ	կը մեռնիմ	կ'երկնչիմ	կը կպչիմ	կ'ամչնամ	կը նիհարնամ	կ'երդնում	կը զբօսնում	կ'իջնամ	կ'իջնեմ	կը գտնամ	կը գտնեմ	կ'ելլամ	կ'ելլեմ	կը դպչիմ		կրնամ	կ'երեւէի	ունիմ	գիտեմ	կամ	եմ	կ'ըլլամ	կու գամ	կու լամ	կու տամ	կ'արտաբերեմ	կը բերեմ	կ'անդրադառնամ	կը դառնամ	կ'առնեմ	կը բանամ	կը դնեմ	կը դպիմ	կ'երթամ	կը զարնեմ	կը զիջիմ	կ'ընդունիմ	կ'ընեմ	կ'ըսեմ	կը թքնեմ	կ'իյնամ	կը խածնեմ	կը խաղամ	կը մնամ	կը նստիմ	կ'ուտեմ	կը տանիմ
indicative present 2pl	կ'երգէք	կը քաղէք	կ'ապրիք	կը խօսիք	կ'ածիլուիք	կը զզուիք	կ'աղաք	կը կարդաք	կ'արտահեղէք, կ'արտահեղուք	կը թողուք	կ'աճեցնէք	կը մօտեցնէք	կ'անցընէք	կը դարձնէք	կ'ուսուցանէք	կը ծանուցանէք	կ'անցնիք	կը մեռնիք	կ'երկնչիք	կը կպչիք	կ'ամչնաք	կը նիհարնաք	կ'երդնուք	կը զբօսնուք	կ'իջնաք	կ'իջնէք	կը գտնաք	կը գտնէք	կ'ելլաք	կ'ելլէք	կը դպչիք		կրնաք	կ'երեւէիք	ունիք	գիտէք	կաք	էք	կ'ըլլաք	կու գաք	կու լաք	կու տաք	կ'արտաբերէք	կը բերէք	կ'անդրադառնաք	կը դառնաք	կ'առնէք	կը բանաք	կը դնէք	կը դպիք	կ'երթաք	կը զարնէք	կը զիջիք	կ'ընդունիք	կ'ընէք	կ'ըսէք	կը թքնէք	կ'իյնաք	կը խածնէք	կը խաղաք	կը մնաք	կը նստիք	կ'ուտէք	կը տանիք
indicative present 2sg	կ'երգես	կը քաղես	կ'ապրիս	կը խօսիս	կ'ածիլուիս	կը զզուիս	կ'աղաս	կը կարդաս	կ'արտահեղես, կ'արտահեղուս	կը թողուս	կ'աճեցնես	կը մօտեցնես	կ'անցընես	կը դարձնես	կ'ուսուցանես	կը ծանուցանես	կ'անցնիս	կը մեռնիս	կ'երկնչիս	կը կպչիս	կ'ամչնաս	կը նիհարնաս	կ'երդնուս	կը զբօսնուս	կ'իջնաս	կ'իջնես	կը գտնաս	կը գտնես	կ'ելլաս	կ'ելլես	կը դպչիս		կրնաս	կ'երեւէիր	ունիս	գիտես	կաս	ես	կ'ըլլաս	կու գաս	կու լաս	կու տաս	կ'արտաբերես	կը բերես	կ'անդրադառնաս	կը դառնաս	կ'առնես	կը բանաս	կը դնես	կը դպիս	կ'երթաս	կը զարնես	կը զիջիս	կ'ընդունիս	կ'ընես	կ'ըսես	կը թքնես	կ'իյնաս	կը խածնես	կը խաղաս	կը մնաս	կը նստիս	կ'ուտես	կը տանիս
indicative present 3pl	կ'երգեն	կը քաղեն	կ'ապրին	կը խօսին	կ'ածիլուին	կը զզուին	կ'աղան	կը կարդան	կ'արտահեղեն, կ'արտահեղուն	կը թողուն	կ'աճեցնեն	կը մօտեցնեն	կ'անցընեն	կը դարձնեն	կ'ուսուցանեն	կը ծանուցանեն	կ'անցնին	կը մեռնին	կ'երկնչին	կը կպչին	կ'ամչնան	կը նիհարնան	կ'երդնուն	կը զբօսնուն	կ'իջնան	կ'իջնեն	կը գտնան	կը գտնեն	կ'ելլան	կ'ելլեն	կը դպչին		կրնան	կ'երեւէին	ունին	գիտեն	կան	են	կ'ըլլան	կու գան	կու լան	կու տան	կ'արտաբերեն	կը բերեն	կ'անդրադառնան	կը դառնան	կ'առնեն	կը բանան	կը դնեն	կը դպին	կ'երթան	կը զարնեն	կը զիջին	կ'ընդունին	կ'ընեն	կ'ըսեն	կը թքնեն	կ'իյնան	կը խածնեն	կը խաղան	կը մնան	կը նստին	կ'ուտեն	կը տանին
indicative present 3sg	կ'երգէ	կը քաղէ	կ'ապրի	կը խօսի	կ'ածիլուի	կը զզուի	կ'աղայ	կը կարդայ	կ'արտահեղէ, կ'արտահեղու	կը թողու	կ'աճեցնէ	կը մօտեցնէ	կ'անցընէ	կը դարձնէ	կ'ուսուցանէ	կը ծանուցանէ	կ'անցնի	կը մեռնի	կ'երկնչի	կը կպչի	կ'ամչնայ	կը նիհարնայ	կ'երդնու	կը զբօսնու	կ'իջնայ	կ'իջնէ	կը գտնայ	կը գտնէ	կ'ելլայ	կ'ելլէ	կը դպչի		կրնայ	կ'երեւէր	ունի	գիտէ	կայ	է	կ'ըլլայ	կու գայ	կու լայ	կու տայ	կ'արտաբերէ	կը բերէ	կ'անդրադառնայ	կը դառնայ	կ'առնէ	կը բանայ	կը դնէ	կը դպի	կ'երթայ	կը զարնէ	կը զիջի	կ'ընդունի	կ'ընէ	կ'ըսէ	կը թքնէ	կ'իյնայ	կը խածնէ	կը խաղայ	կը մնայ	կը նստի	կ'ուտէ	կը տանի
