Index	Verb	Class number	Class example	Stem	Regularity	Regular category	Phonological marker	Morphological marker	Comment	
86	անօսրանալ	19	ամչնալ	անօսր	Regular	Inchoative	V-initial	-նալ		
87	աշակերտել	1	երգել	աշակերտ	Regular	E-Class	V-initial	-ել		
88	աշխատակցիլ	3	ապրիլ	աշխատակց	Regular	I-Class	V-initial	-իլ		
89	աշխատիլ	3	ապրիլ	աշխատ	Regular	I-Class	V-initial	-իլ		
90	աշխատցնել	9	աճեցնել	աշխատ	Regular	Causative	V-initial	-ցնել		
91	աշխարել	1	երգել	աշխար	Regular	E-Class	V-initial	-ել		
92	ապազինել	1	երգել	ապազին	Regular	E-Class	V-initial	-ել		
93	ապականել	1	երգել	ապական	Regular	E-Class	V-initial	-ել		
94	ապականիլ	3	ապրիլ	ապական	Regular	I-Class	V-initial	-իլ		
95	ապահովագրել	1	երգել	ապահովագր	Regular	E-Class	V-initial	-ել		
96	ապահովագրուիլ	3	ապրիլ	ապահովագր	Regular	Passive	V-initial	-իլ		
97	ապահովել	1	երգել	ապահով	Regular	E-Class	V-initial	-ել		
98	ապաշխարել	1	երգել	ապաշխար	Regular	E-Class	V-initial	-ել		
99	ապասերիլ	3	ապրիլ	ապասեր	Regular	I-Class	V-initial	-իլ		
100	ապաստանիլ	3	ապրիլ	ապաստան	Regular	I-Class	V-initial	-իլ		
101	ապացուցանել	11	ուսուցանել	ապացուց	Archaic		V-initial	-ուցանել		
102	ապացուցել	1	երգել	ապացուց	Regular	E-Class	V-initial	-ել		
103	ապաւինիլ	3	ապրիլ	ապաւին	Regular	I-Class	V-initial	-իլ		
104	ապաքինիլ	3	ապրիլ	ապաքին	Regular	I-Class	V-initial	-իլ		
105	ապխտել	1	երգել	ապխտ	Regular	E-Class	V-initial	-ել		
106	ապշեցնել	9	աճեցնել	ապշե	Regular	Causative	V-initial	-ցնել		
107	ապշիլ	3	ապրիլ	ապշ	Regular	I-Class	V-initial	-իլ		
108	ապսպրել	1	երգել	ապսպր	Regular	E-Class	V-initial	-ել		
109	ապստամբիլ	3	ապրիլ	ապստամբ	Regular	I-Class	V-initial	-իլ		
110	ապտակել	1	երգել	ապտակ	Regular	E-Class	V-initial	-ել		
111	ապրեցնել	9	աճեցնել	ապրե	Regular	Causative	V-initial	-ցնել		
112	ապրիլ	3	ապրիլ	ապր	Regular	I-Class	V-initial	-իլ		
113	աջակցիլ	3	ապրիլ	աջակց	Regular	I-Class	V-initial	-իլ		
114	առանձնանալ	19	ամչնալ	առանձն	Regular	Inchoative	V-initial	-նալ		
115	առանձնացնել	9	աճեցնել	առանձնա	Regular	Causative	V-initial	-ցնել		
116	առաջադրել	1	երգել	առաջադր	Regular	E-Class	V-initial	-ել		
117	առաջարկել	1	երգել	առաջարկ	Regular	E-Class	V-initial	-ել		
118	առարկել	1	երգել	առարկ	Regular	E-Class	V-initial	-ել		
119	առաքել	1	երգել	առաք	Regular	E-Class	V-initial	-ել		
